"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Motorbreath', 'Fade to Black', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Helpless', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Hit the Lights', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Breadfan', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Leper Messiah', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Am I Evil?', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Through the Never', 'Fade to Black', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Breadfan', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Four Horsemen', 'The Unforgiven', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Die, Die My Darling', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Holier Than Thou', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Last Caress', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Last Caress', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Of Wolf and Man', 'The Day That Never Comes', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Whiskey in the Jar', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Shortest Straw', 'Fade to Black', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Helpless', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Leper Messiah', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Spit Out the Bone', 'For Whom the Bell Tolls', 'Halo On Fire', 'Blitzkrieg', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Through the Never', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Breadfan', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'Fade to Black', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Last Caress', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Leper Messiah', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Die, Die My Darling', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
